察哈尔右翼后 chahaeryouyihou
四子王 siziwang
丰镇 fengzhen
乌兰浩特 wulanhaote
阿尔山 aershan
科尔沁右翼前 keerqinyouyiqian
科尔沁右翼中 keerqinyouyizhong
扎赉特 zhalaite
突泉 tuquan
二连浩特 erlianhaote
锡林浩特 xilinhaote
阿巴嘎 abaga
苏尼特左 sunitezuo
苏尼特右 suniteyou
东乌珠穆沁 dongwuzhumuqin
西乌珠穆沁 xiwuzhumuqin
太仆寺 taipusi
镶黄 xianghuang
正镶白 zhengxiangbai
正蓝 zhenglan
多伦 duolun
阿拉善左 alashanzuo
阿拉善右 alashanyou
额济纳 ejina
和平 heping
沈河 shenhe
大东 dadong
皇姑 huanggu
铁西 tiexi
苏家屯 sujiatun
浑南 hunnan
沈北新区 shenbeixinqu
于洪 yuhong
辽中 liaozhong
康平 kangping
法库 faku
新民 xinmin
中山 zhongshan
西岗 xigang
沙河口 shahekou
甘井子 ganjingzi
旅顺口 lu:shunkou
金州 jinzhou
长海 changhai
瓦房店 wafangdian
普兰店 pulandian
庄河 zhuanghe
铁东 tiedong
铁西 tiexi
立山 lishan
千山 qianshan
台安 taian
岫岩 xiuyan
海城 haicheng
新抚 xinfu
东洲 dongzhou
望花 wanghua
顺城 shuncheng
抚顺 fushun
新宾 xinbin
清原 qingyuan
平山 pingshan
溪湖 xihu
明山 mingshan
南芬 nanfen
本溪 benxi
桓仁 huanren
元宝 yuanbao
振兴 zhenxing
振安 zhenan
宽甸 kuandian
东港 donggang
凤城 fengcheng
古塔 guta
凌河 linghe
太和 taihe
黑山 heishan
义县 yixian
凌海 linghai
北镇 beizhen
站前 zhanqian
西市 xishi
鲅鱼圈 bayuquan
老边 laobian
盖州 gaizhou
大石桥 dashiqiao
海州 haizhou
新邱 xinqiu
太平 taiping
清河门 qinghemen
细河 xihe
阜新 fuxin
彰武 zhangwu
白塔 baita
文圣 wensheng
宏伟 hongwei
弓长岭 gongchangling
辽阳 liaoyang
灯塔 dengta
太子河 taizihe
双台子 shuangtaizi
兴隆台 xinglongtai
大洼 dawa
盘山 panshan
银州 yinzhou
清河 qinghe
铁岭 tieling
西丰 xifeng
昌图 changtu
调兵山 diaobingshan
开原 kaiyuan
双塔 shuangta
龙城 longcheng
朝阳 chaoyang
建平 jianping
喀喇沁左翼 kalaqinzuoyi
北票 beipiao
凌源 lingyuan
连山 lianshan
龙港 longgang
南票 nanpiao
绥中 suizhong
建昌 jianchang
兴城 xingcheng
南关 nanguan
宽城 kuancheng
朝阳 chaoyang
二道 erdao
绿园 lu:yuan
双阳 shuangyang
农安 nongan
九台 jiutai
榆树 yushu
德惠 dehui
昌邑 changyi
龙潭 longtan
船营 chuanying
丰满 fengman
永吉 yongji
桦甸 huadian
蛟河 jiaohe
舒兰 shulan
磐石 panshi
铁西 tiexi
铁东 tiedong
梨树 lishu
伊通 yitong
公主岭 gongzhuling
双辽 shuangliao
龙山 longshan
西安 xian
东丰 dongfeng
东辽 dongliao
东昌 dongchang
二道江 erdaojiang
通化 tonghua
辉南 huinan
柳河 liuhe
梅河口 meihekou
集安 jian
浑江 hunjiang
江源 jiangyuan
抚松 fusong
靖宇 jingyu
长白 changbai
临江 linjiang
宁江 ningjiang
前郭尔罗斯 qianguoerluosi
长岭 changling
乾安 qianan
扶余 fuyu
洮北 taobei
镇赉 zhenlai
洮南 taonan
大安 daan
通榆 tongyu
延吉 yanji
图们 tumen
敦化 dunhua
珲春 hunchun
龙井 longjing
和龙 helong
汪清 wangqing
安图 antu
道里 daoli
南岗 nangang
道外 daowai
平房 pingfang
松北 songbei
香坊 xiangfang
呼兰 hulan
阿城 acheng
依兰 yilan
方正 fangzheng
宾县 binxian
巴彦 bayan
木兰 mulan
通河 tonghe
延寿 yanshou
双城 shuangcheng
尚志 shangzhi
五常 wuchang
龙沙 longsha
建华 jianhua
铁锋 tiefeng
昂昂溪 angangxi
富拉尔基 fulaerji
碾子山 nianzishan
梅里斯 meilisi
龙江 longjiang
依安 yian
泰来 tailai
甘南 gannan
富裕 fuyu
克山 keshan
克东 kedong
拜泉 baiquan
讷河 nehe
鸡冠 jiguan
恒山 hengshan
滴道 didao
梨树 lishu
城子河 chengzihe
麻山 mashan
鸡东 jidong
虎林 hulin
密山 mishan
向阳 xiangyang
工农 gongnong
南山 nanshan
兴安 xingan
东山 dongshan
兴山 xingshan
萝北 luobei
绥滨 suibin
尖山 jianshan
岭东 lingdong
四方台 sifangtai
宝山 baoshan
集贤 jixian
友谊 youyi
宝清 baoqing
饶河 raohe
萨尔图 saertu
龙凤 longfeng
让胡路 ranghulu
红岗 honggang
大同 datong
肇州 zhaozhou
肇源 zhaoyuan
林甸 lindian
杜尔伯特 duerbote
南岔 nancha
友好 youhao
金林 jinlin
乌翠 wucui
丰林 fenglin
伊美 yimei
汤旺 tangwang
大箐山 daqingshan
嘉荫 jiayin
铁力 tieli
向阳 xiangyang
前进 qianjin
东风 dongfeng
郊区 jiaoqu
桦南 huanan
桦川 huachuan
汤原 tangyuan
抚远 fuyuan
同江 tongjiang
富锦 fujin
新兴 xinxing
桃山 taoshan
茄子河 qiezihe
勃利 boli
东安 dongan
阳明 yangming
爱民 aimin
西安 xian
东宁 dongning
林口 linkou
绥芬河 suifenhe
海林 hailin
宁安 ningan
穆棱 muleng
爱辉 aihui
嫩江 nenjiang
逊克 xunke
孙吴 sunwu
北安 beian
五大连池 wudalianchi
北林 beilin
望奎 wangkui
兰西 lanxi
青冈 qinggang
庆安 qingan
明水 mingshui
绥棱 suileng
安达 anda
肇东 zhaodong
海伦 hailun
加格达奇 jiagedaqi
松岭 songling
新林 xinlin
呼中 huzhong
呼玛 huma
塔河 tahe
漠河 mohe
玄武 xuanwu
秦淮 qinhuai
建邺 jianye
鼓楼 gulou
浦口 pukou
栖霞 qixia
雨花台 yuhuatai
江宁 jiangning
六合 liuhe
溧水 lishui
高淳 gaochun
梁溪 liangxi
新吴 xinwu
锡山 xishan
惠山 huishan
滨湖 binhu
江阴 jiangyin
宜兴 yixing
鼓楼 gulou
云龙 yunlong
贾汪 jiawang
泉山 quanshan
铜山 tongshan
丰县 fengxian
沛县 peixian
睢宁 suining
新沂 xinyi
邳州 pizhou
天宁 tianning
钟楼 zhonglou
新北 xinbei
武进 wujin
溧阳 liyang
金坛 jintan
虎丘 huqiu
吴中 wuzhong
相城 xiangcheng
姑苏 gusu
吴江 wujiang
常熟 changshu
张家港 zhangjiagang
昆山 kunshan
太仓 taicang
崇川 chongchuan
港闸 gangzha
通州 tongzhou
海安 haian
如东 rudong
启东 qidong
如皋 rugao
海门 haimen
连云 lianyun
海州 haizhou
赣榆 ganyu
东海 donghai
灌云 guanyun
灌南 guannan
淮安 huaian
淮阴 huaiyin
清江浦 qingjiangpu
涟水 lianshui
洪泽 hongze
盱眙 xuyi
金湖 jinhu
亭湖 tinghu
盐都 yandu
响水 xiangshui
滨海 binhai
阜宁 funing
射阳 sheyang
建湖 jianhu
东台 dongtai
大丰 dafeng
广陵 guangling
邗江 hanjiang
江都 jiangu
宝应 baoying
仪征 yizheng
高邮 gaoyou
京口 jingkou
润州 runzhou
丹徒 dantu
丹阳 danyang
扬中 yangzhong
句容 jurong
海陵 hailing
高港 gaogang
兴化 xinghua
靖江 jingjiang
泰兴 taixing
姜堰 jiangyan
宿城 sucheng
宿豫 suyu
沭阳 shuyang
泗阳 siyang
泗洪 sihong
上城 shangcheng
下城 xiacheng
江干 jianggan
拱墅 gongshu
西湖 xihu
滨江 binjiang
萧山 xiaoshan
余杭 yuhang
桐庐 tonglu
淳安 chunan
建德 jiande
富阳 fuyang
临安 linan
海曙 haishu
江北 jiangbei
北仑 beilun
镇海 zhenhai
鄞州 yinzhou
象山 xiangshan
宁海 ninghai
余姚 yuyao
慈溪 cixi
奉化 fenghua
鹿城 lucheng
龙湾 longwan
瓯海 ouhai
洞头 dongtou
永嘉 yongjia
平阳 pingyang
苍南 cangnan
文成 wencheng
泰顺 taishun
瑞安 ruian
乐清 leqing
南湖 nanhu
秀洲 xiuzhou
嘉善 jiashan
海盐 haiyan
海宁 haining
平湖 pinghu
桐乡 tongxiang
吴兴 wuxing
南浔 nanxun
德清 deqing
长兴 changxing
安吉 anji
越城 yuecheng
柯桥 keqiao
新昌 xinchang
诸暨 zhuji
上虞 shangyu
嵊州 shengzhou
婺城 wucheng
金东 jindong
武义 wuyi
浦江 pujiang
磐安 panan
兰溪 lanxi
义乌 yiwu
东阳 dongyang
永康 yongkang
柯城 kecheng
衢江 qujiang
常山 changshan
开化 kaihua
龙游 longyou
江山 jiangshan
定海 dinghai
普陀 putuo
岱山 daishan
嵊泗 shengsi
椒江 jiaojiang
黄岩 huangyan
路桥 luqiao
玉环 yuhuan
三门 sanmen
天台 tiantai
仙居 xianju
温岭 wenling
临海 linhai
莲都 liandu
青田 qingtian
缙云 jinyun
遂昌 suichang
松阳 songyang
云和 yunhe
庆元 qingyuan
景宁 jingning
龙泉 longquan
瑶海 yaohai
庐阳 luyang
蜀山 shushan
包河 baohe
长丰 changfeng
肥东 feidong
肥西 feixi
庐江 lujiang
巢湖 chaohu
镜湖 jinghu
弋江 yijiang
鸠江 jiujiang
三山 sanshan
芜湖 wuhu
繁昌 fanchang
南陵 nanling
无为 wuwei
龙子湖 longzihu
蚌山 bangshan
禹会 yuhui
淮上 huaishang
怀远 huaiyuan
五河 wuhe
固镇 guzhen
大通 datong
田家庵 tianjiaan
谢家集 xiejiaji
八公山 bagongshan
潘集 panji
凤台 fengtai
花山 huashan
雨山 yushan
博望 bowang
当涂 dangtu
含山 hanshan
和县 hexian
杜集 duji
相山 xiangshan
烈山 lieshan
濉溪 suixi
铜官山 tongguanshan
郊区 jiaoqu
义安 yian
迎江 yingjiang
大观 daguan
宜秀 yixiu
怀宁 huaining
枞阳 zongyang
潜山 qianshan
太湖 taihu
宿松 susong
望江 wangjiang
岳西 yuexi
桐城 tongcheng
屯溪 tunxi
黄山 huangshan
徽州 huizhou
歙县 shexian
休宁 xiuning
黟县 yixian
祁门 qimen
琅玡 langya
南谯 nanqiao
来安 laian
全椒 quanjiao
定远 dingyuan
凤阳 fengyang
天长 tianchang
明光 mingguang
颍州 yingzhou
颍东 yingdong
颍泉 yingquan
临泉 linquan
太和 taihe
阜南 funan
颖上 yingshang
界首 jieshou
埇桥 yongqiao
砀山 dangshan
萧县 xiaoxian
灵璧 lingbi
泗县 sixian
金安 jinan
裕安 yuan
寿县 shouxian
霍邱 huoqiu
舒城 shucheng
金寨 jinzhai
霍山 huoshan
谯城 qiaocheng
涡阳 woyang
蒙城 mengcheng
利辛 lixin
贵池 guichi
东至 dongzhi
石台 shitai
青阳 qingyang
